Template,Parameter,Label
Receiving block blk -<:SEQ:> src: /<:IP:>:<:NUM:> dest: /<:IP:>:<:NUM:>,"['1608999687919862906', '10.250.19.102', '54106', '10.250.19.102', '50010']",Normal
BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job <:NUM:> <:NUM:>/job.jar. blk -<:SEQ:>,"['200811092030', '0001', '1608999687919862906']",Normal
PacketResponder <:NUM:> for block blk -<:SEQ:> terminating,"['1', '1608999687919862906']",Normal
Received block blk -<:SEQ:> of size <:NUM:> from /<:IP:>,"['1608999687919862906', '91178', '10.250.10.6']",Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: <:IP:>:<:NUM:> is added to blk -<:SEQ:> size <:NUM:>,"['10.250.10.6', '50010', '1608999687919862906', '91178']",Normal
Receiving block blk <:*:> src: /<:IP:>:<:NUM:> dest: /<:IP:>:<:NUM:>,"['7503483334202473044', '10.251.215.16', '55695', '10.251.215.16', '50010']",Normal
BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job <:NUM:> <:*:> blk <:*:>,"['200811092030', '0001/job.split.', '7503483334202473044']",Normal
Received block blk -<:SEQ:> src: /<:IP:>:<:NUM:> dest: /<:IP:>:<:NUM:> of size <:NUM:>,"['1608999687919862906', '10.251.215.16', '52002', '10.251.215.16', '50010', '91178']",Normal
PacketResponder <:NUM:> for block blk <:*:> terminating,"['1', '7503483334202473044']",Normal
Received block blk <:*:> of size <:NUM:> from /<:IP:>,"['7503483334202473044', '233217', '10.251.215.16']",Normal
<:IP:>:<:NUM:>:Transmitted block blk -<:SEQ:> to /<:IP:>:<:NUM:>,"['10.250.14.224', '50010', '1608999687919862906', '10.251.215.16', '50010']",Normal
"<:IP:>:<:NUM:> Starting thread to transfer block blk -<:SEQ:> to <:IP:>:<:NUM:>, <:IP:>:<:NUM:>","['10.250.14.224', '50010', '1608999687919862906', '10.251.215.16', '50010', '10.251.71.193', '50010']",Normal
BLOCK* ask <:IP:>:<:NUM:> to replicate blk -<:SEQ:> to datanode(s) <:IP:>:<:NUM:> <:IP:>:<:NUM:>,"['10.250.14.224', '50010', '1608999687919862906', '10.251.215.16', '50010', '10.251.71.193', '50010']",Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: <:IP:>:<:NUM:> is added to blk <:*:> size <:NUM:>,"['10.251.106.10', '50010', '7503483334202473044', '233217']",Normal
<:IP:>:<:NUM:> Served block blk -<:SEQ:> to /<:IP:>,"['10.250.11.100', '50010', '3544583377289625738', '10.250.19.102']",Anomaly
BLOCK* NameSystem.allocateBlock: /user/root/rand/ logs/history/ip-<:NUM:>-<:NUM:>-<:NUM:>-<:NUM:>.ec2.internal <:NUM:> job <:NUM:> <:NUM:> conf.xml. blk -<:SEQ:>,"['10', '250', '19', '102', '1226291400491', '200811092030', '0001', '9073992586687739851']",Normal
<:IP:>:<:NUM:> Served block blk <:*:> to /<:IP:>,"['10.251.215.16', '50010', '7503483334202473044', '10.250.19.102']",Normal
BLOCK* NameSystem.allocateBlock: /user/root/rand/ temporary/ task <:NUM:> <:NUM:> m <:NUM:> <:NUM:>/part-<:NUM:>. blk <:SEQ:>,"['200811092030', '0001', '000079', '0', '00079', '7854771516489510256']",Normal
BLOCK* ask <:IP:>:<:NUM:> to replicate blk -<:SEQ:> to datanode(s) <:IP:>:<:NUM:>,"['10.251.31.5', '50010', '1608999687919862906', '10.251.90.64', '50010']",Normal
BLOCK* NameSystem.allocateBlock: /user/root/rand/ temporary/ task <:NUM:> <:NUM:> m <:NUM:> <:NUM:>/part-<:NUM:>. blk <:*:>,"['200811092030', '0001', '000121', '0', '00121', '-2519617320378473615']",Normal
<:IP:>:<:NUM:> Starting thread to transfer block blk -<:SEQ:> to <:IP:>:<:NUM:>,"['10.251.31.5', '50010', '1608999687919862906', '10.251.90.64', '50010']",Normal
Verification succeeded for blk -<:SEQ:>,['9073992586687739851'],Normal
writeBlock blk -<:SEQ:> received exception java.net.SocketTimeoutException,['3102267849859399193'],Anomaly
